FantasyPros.com , ,,,,,,,
2015 Preseason - WR Rankings , ,,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,,
,,,,,,,,
 Rank , Player Name ,Team , Bye Week ,Best Rank , Worst Rank , Avg Rank , Std Dev ,ADP 
1,Antonio Brown,PIT,11,1,4,1.371428571,0.759161729,1
2,Dez Bryant,DAL,6,1,7,2.885714286,1.3474087,3
3,Demaryius Thomas,DEN,7,2,7,3.457142857,1.154936168,4
4,Odell Beckham Jr.,NYG,11,1,9,4.714285714,1.979486637,2
5,Julio Jones,ATL,10,1,8,4.714285714,1.733228673,5
6,Calvin Johnson,DET,9,1,7,4.942857143,1.706171272,6
7,Jordy Nelson,GB,7,4,10,6.657142857,1.529572436,7
8,A.J. Green,CIN,7,5,12,7.971428571,1.423992662,8
9,Alshon Jeffery,CHI,7,8,13,9.428571429,1.248672765,10
10,Randall Cobb,GB,7,8,13,10.11428571,1.089467198,9
11,Mike Evans,TB,6,8,17,11.11428571,2.108099057,11
12,Ty Hilton,IND,10,8,19,12.4,1.710471948,12
13,DeAndre Hopkins,HOU,9,10,17,13.42857143,1.777409259,15
14,Emmanuel Sanders,DEN,7,9,25,14.48571429,2.931322749,13
15,Kelvin Benjamin,CAR,5,11,20,15.05714286,2.083168701,14
16,Brandin Cooks,NO,11,12,26,16.31428571,3.068470336,16
17,Jordan Matthews,PHI,8,14,26,18.28571429,2.913725436,17
18,Andre Johnson,IND,10,12,34,19.88571429,4.496166167,18
19,Keenan Allen,SD,10,14,42,21.05714286,4.933517187,23
20,DeSean Jackson,WAS,8,14,31,21.6,4.079215611,20
21,Brandon Marshall,NYJ,5,15,28,21.91428571,3.046041258,26
22,Julian Edelman,NE,4,16,31,22.08571429,3.508124681,22
23,Golden Tate,DET,9,15,36,23.51428571,5.004977115,25
24,Sammy Watkins,BUF,8,18,32,24.42857143,3.595916051,19
25,Amari Cooper,OAK,6,15,38,24.74285714,4.970443252,21
26,Vincent Jackson,TB,6,18,35,26.08571429,4.052311006,28
27,Martavis Bryant,PIT,11,17,41,27.17142857,5.547126485,24
28,Jeremy Maclin,KC,9,21,40,28.82857143,4.136842925,27
29,Roddy White,ATL,10,22,50,29.51428571,4.976352242,32
30,Allen Robinson,JAC,8,19,47,31.31428571,7.509123702,33
31,Michael Floyd,ARI,9,19,50,34.37142857,6.680828496,34
32,Eric Decker,NYJ,5,27,58,35.48571429,7.07660705,41
33,Larry Fitzgerald,ARI,9,19,49,35.65714286,6.168782502,37
34,Jarvis Landry,MIA,5,21,49,35.71428571,6.031211338,30
35,Brandon LaFell,NE,4,26,55,35.82857143,5.422101408,38
36,Mike Wallace,MIN,5,25,46,36.05714286,6.037704659,31
37,Steve Smith,BAL,9,25,62,38.08571429,7.232353612,40
38,Torrey Smith,SF,10,29,47,38.28571429,4.772369454,42
39,Nelson Agholor,PHI,8,25,55,38.31428571,6.856785705,36
40,Charles Johnson,MIN,5,26,58,39.65714286,6.731346107,39
41,Kevin White,CHI,7,24,53,39.8,7.448106183,29
42,Anquan Boldin,SF,10,27,62,40.48571429,7.204647026,47
43,Marques Colston,NO,11,31,58,41.17142857,7.338686976,44
44,Breshad Perriman,BAL,9,29,75,44.25714286,9.583744741,43
45,Pierre Garcon,WAS,8,30,59,46.85714286,7.364559369,49
46,John Brown,ARI,9,37,64,47.31428571,5.805275574,51
47,Victor Cruz,NYG,11,31,71,48.28571429,9.057187922,35
48,Kendall Wright,TEN,4,36,57,47.8,4.65249549,52
49,Kenny Stills,MIA,5,30,63,50.14285714,6.423807759,69
50,Percy Harvin,BUF,8,37,63,50.14705882,7.146090469,45
51,Davante Adams,GB,7,40,72,51.20588235,6.965374074,46
52,Devante Parker,MIA,5,38,93,53.2,10.91735185,50
53,Rueben Randle,NYG,11,23,77,52.6,9.775187247,67
54,Terrance Williams,DAL,6,43,63,53.05882353,5.318896261,48
55,Brian Quick,STL,6,37,86,55.09090909,9.202646643,63
56,Dwayne Bowe,CLE,11,45,87,57.61764706,9.539437355,71
57,Doug Baldwin,SEA,9,41,76,57.18181818,6.302738921,58
58,Marvin Jones,CIN,7,44,94,58.71428571,8.771940422,62
59,Michael Crabtree,OAK,6,43,80,59.03333333,7.44975764,66
60,Cody Latimer,DEN,7,48,82,60.03030303,7.077428263,53
61,Donte Moncrief,IND,10,40,86,63.78125,11.42019695,65
62,Malcom Floyd,SD,10,47,80,60.48387097,7.657469336,60
63,Steve Johnson,SD,10,48,91,64.83333333,10.58326772,68
64,Dorial Green-Beckham,TEN,4,43,84,65.76666667,9.538285427,54
65,Kenny Britt,STL,6,51,91,64.93333333,8.984925647,72
66,Devin Funchess,CAR,5,46,86,64.89285714,8.665775399,70
67,Stedman Bailey,STL,6,34,103,74.75,13.96583842,
68,Marqise Lee,JAC,8,53,91,66.63333333,7.76952737,
69,Phillip Dorsett,IND,10,51,97,75.56,11.66560757,75
70,Cecil Shorts,HOU,9,55,90,71.33333333,9.582391258,
71,Justin Hunter,TEN,4,53,87,72.82758621,7.534147393,
72,Jaelen Strong,HOU,9,55,100,72.60714286,10.82437489,
73,Cordarrelle Patterson,MIN,5,50,98,76.5862069,11.27253985,61
74,Greg Jennings,MIA,5,53,91,75.3,9.183862659,
75,Andrew Hawkins,CLE,11,54,89,73.28,8.553455442,
76,Reggie Wayne,IND,10,55,100,79.5,12.47998397,56
77,Josh Huff,PHI,8,57,123,84.75,17.56340554,
78,Wes Welker,DEN,7,57,109,86.14285714,16.92359782,55
79,Eddie Royal,CHI,7,58,99,79.42307692,10.33356397,73
80,Cole Beasley,DAL,6,58,101,79.88,10.45493185,
81,Jermaine Kearse,SEA,9,58,99,80.75,12.80380803,57
82,Nick Toon,NO,11,59,100,77.08,11.75047233,76
83,Allen Hurns,JAC,8,59,97,76.03703704,10.98308963,
84,Marquess Wilson,CHI,7,61,133,90.81481481,18.40900954,
85,Harry Douglas,TEN,4,62,115,90,14.76776749,
86,Mohamed Sanu,CIN,7,62,113,87,13.71972191,64
87,Riley Cooper,PHI,8,62,108,84.12,10.64826746,
88,Nate Washington,HOU,9,63,110,91.61111111,11.55729154,
89,Hakeem Nicks,TEN,4,64,155,100.0625,25.7134905,
90,Taylor Gabriel,CLE,11,64,128,99.16666667,20.43621513,
91,Markus Wheaton,PIT,11,64,91,76.2,7.826876772,74
92,Chris Conley,KC,9,65,110,94.83333333,12.62163046,
93,Brian Hartline,CLE,11,65,103,83.30769231,11.96073458,
94,Robert Woods,BUF,8,65,101,81.73913043,10.52622973,
95,Devin Smith,NYJ,5,66,117,92.17647059,14.24671394,
96,Danny Amendola,NE,4,66,110,87.85,11.22619704,
97,Jarrett Boykin,CAR,5,68,167,106.4285714,30.72856811,
98,Tyler Lockett,SEA,9,68,122,88.1875,14.59545627,
99,Chris Matthews,SEA,9,68,116,91.5,14.86530433,59
100,Jarius Wright,MIN,5,68,109,85.38461538,13.05337246,
101,Rod Streater,OAK,6,68,95,83.10526316,6.957727524,
102,Tavon Austin,STL,6,69,94,80.42857143,6.586938219,
103,Marlon Brown,BAL,9,71,112,86.2,10.36629153,
104,Jeremy Kerley,NYJ,5,72,134,103.4285714,13.51038905,
105,Devin Hester,ATL,10,72,118,99.91666667,12.07240885,
106,Albert Wilson,KC,9,72,118,92.93333333,11.53814928,
107,Ty Montgomery,GB,7,73,174,135.5,37.87149324,
108,Aaron Dobson,NE,4,73,150,112.4166667,20.68194999,
109,Kamar Aiken,BAL,9,74,151,99.73333333,18.4045888,
110,Sammie Coates,PIT,11,74,145,104.3636364,18.6853016,
111,Justin Blackmon,JAC,8,74,116,91.125,12.50437423,
112,James Jones,OAK,6,75,136,99.8,23.93658288,
113,Justin Hardy,ATL,10,75,124,92.8,15.51644289,
114,Andre Holmes,OAK,6,75,116,93.05263158,10.11238784,
115,Ricardo Lockette,SEA,9,80,142,124,18.98537449,
116,Paul Richardson,SEA,9,80,126,110.875,13.56869098,
117,Louis Murphy,TB,6,80,122,102.4,13.93700111,
118,Duron Carter,IND,10,81,159,108,25.61249695,
119,Leonard Hankerson,ATL,10,81,150,120.125,21.96837215,
120,Andre Roberts,WAS,8,82,103,91.73333333,6.687965975,
121,Dontrelle Inman,SD,10,83,151,108.8461538,20.84317322,
122,Stephen Hill,CAR,5,85,160,118,24.52753555,
123,Jeff Janis,GB,7,88,134,111.5,13.71313239,
124,Philly Brown,CAR,5,88,123,105,11.81336343,
125,Corey Fuller,DET,9,89,153,116.4545455,16.43921938,
126,Jerricho Cotchery,CAR,5,89,126,107.25,13.16007219,
127,Jaron Brown,ARI,9,92,126,109.6666667,11.23486636,
128,De'Anthony Thomas,KC,9,93,144,110.25,20.0296655,
129,Rashad Greene,JAC,8,93,136,115.25,16.49810595,
130,Chris Givens,STL,6,95,151,128.1428571,18.6886411,
131,Jason Avant,KC,9,96,160,130,20.6536057,
132,Jacoby Jones,SD,10,96,146,123.6666667,16.87865187,
133,Kenny Bell,TB,6,96,143,119.1428571,18.65803979,
134,Miles Austin,PHI,8,97,149,112.125,16.5864214,
135,Lance Moore,DET,9,98,169,132.6666667,29.00957696,
136,Bruce Ellington,SF,10,98,138,118.7142857,14.46882645,
137,Denarius Moore,CIN,7,102,158,121.1,20.86839716,
138,Andre Caldwell,DEN,7,102,151,124.5,14.48274836,
139,Quinton Patton,SF,10,102,138,118.75,10.52081271,
140,Joseph Morgan,NO,11,103,126,114.6,8.13879598,
141,Damaris Johnson,HOU,9,104,149,123.7142857,13.96643206,
142,Corey Washington,NYG,11,106,155,133.625,15.23103329,
143,Brandon Coleman,NO,11,106,122,114.8333333,5.367080729,
144,Devin Street,DAL,6,107,154,133.875,12.65343333,
145,Chris Hogan,BUF,8,108,161,136.8333333,21.05086433,
146,Marcus Harris,NYG,11,108,122,115,7,
147,Seantavius Jones,NO,11,109,137,122.3333333,11.46976702,
148,DeAndre Smelter,SF,10,110,156,133.3333333,18.78533707,
149,Ted Ginn,CAR,5,110,139,127.1666667,10.2211654,
150,Rishard Matthews,MIA,5,111,148,129.8,13.99142595,
151,DeVier Posey,NYJ,5,112,178,150.6666667,28.11089152,
152,Da'Rick Rogers,KC,9,113,176,134,29.69848481,
153,Darrius Heyward-Bey,PIT,11,115,178,155,25.18928344,
154,Kenbrell Thompkins,OAK,6,116,157,136.5,13.52466882,
155,Tre McBride,TEN,4,117,164,146.6666667,21.07657995,
156,Jeremy Ross,DET,9,117,161,132.8571429,15.58780266,
157,Jerome Simpson,SF,10,117,154,137.25,13.21693989,
158,Michael Campanaro,BAL,9,117,152,128,9.664367543,
159,Brandon Gibson,NE,4,118,149,130.7142857,10.98979118,
160,Dwayne Harris,NYG,11,119,157,136,13.74045123,
161,Travis Benjamin,CLE,11,121,175,132.125,16.82585436,
162,Ryan Grant,WAS,8,121,148,135.1666667,8.820745748,
163,Jamison Crowder,WAS,8,122,137,129.25,6.79613861,
164,Josh Bellamy,CHI,7,124,146,134.3333333,9.030811456,
165,Marquise Goodwin,BUF,8,128,167,142.3333333,15.88150567,
166,Eric Weems,ATL,10,129,162,145.5,15.53222457,
167,Brice Butler,OAK,6,129,145,137.25,7.292976073,
168,Ace Sanders,JAC,8,130,166,143.8333333,12.13008198,
169,Vince Mayle,CLE,11,130,157,148.75,10.98578627,
170,Brandon Tate,CIN,7,133,173,147,18.40289832,
171,Preston Parker,NYG,11,133,165,144.3333333,14.63633227,
172,Stefon Diggs,MIN,5,136,168,149,13.73559852,
173,James Wright,CIN,7,138,165,149,10.89954127,
174,Keshawn Martin,HOU,9,139,171,149.5,12.6589889,
175,Brenton Bersin,CAR,5,140,170,153.2,11.33843023,
176,Frankie Hammond,KC,9,142,176,155.75,13.27356395,
177,Robert Herron,TB,6,144,166,155.8,8.352245207,
178,Tommy Streeter,MIA,5,144,144,144,0,
179,Ryan Broyles,DET,9,145,165,155,10,
180,J.J. Nelson,ARI,9,145,150,147.5,2.5,
181,Brittan Golden,ARI,9,146,153,148.6666667,3.091206165,
182,Griff Whalen,IND,10,147,177,164.6666667,12.81492186,
183,Darren Waller,BAL,9,147,147,147,0,
184,Jared Abbrederis,GB,7,148,167,157.5,9.5,
185,Chris Owusu,NYJ,5,151,157,154,3,
186,Jacoby Ford,TEN,4,154,164,159,5,
187,Kevin Norwood,SEA,9,155,163,159,4,
188,T.J. Graham,NYJ,5,155,156,155.5,0.5,
189,Adam Thielen,MIN,5,155,156,155.5,0.5,
190,Dezmin Lewis,BUF,8,158,158,158,0,
191,Junior Hemingway,KC,9,159,173,164.3333333,6.18241233,
192,Jeff Maehl,PHI,8,163,174,168.5,5.5,
193,Russell Shepard,TB,6,165,171,168,3,
194,Arrelious Benn,JAC,8,172,177,174.5,2.5,
